NSFTV_ID,Na:K Shoot ,Na Shoot ,K Shoot Salt ,K Shoot Control ,Na:K Root ,Na Root ,K Root Salt 
NSFTV_301,198.3628553,0.148533899,0.76168335,1.051155641,421.3135573,0.275169725,0.644622155
NSFTV_302,243.5128553,0.190283899,0.81343335,1.009780137,517.9812063,0.32244688,0.62250675
NSFTV_303,161.5632435,0.150610041,0.934851632,1.001669628,423.6383189,0.335449019,0.790859848
NSFTV_304,234.9378553,0.195283899,0.85018335,1.083991228,538.9475296,0.426111515,0.790351248
NSFTV_305,231.7378553,0.206283899,0.90843335,1.084309082,419.8979111,0.343222159,0.825657652
NSFTV_306,235.2378553,0.215033899,0.91993335,1.037650292,450.8168458,0.350401357,0.769304477
NSFTV_307,263.3378553,0.209533899,0.82193335,1.016842654,504.6792031,0.283218002,0.584293414
NSFTV_309,293.8878553,0.214783899,0.76518335,0.988454328,456.0711342,0.340002048,0.749867169
NSFTV_31,245.2868364,0.203794726,0.834651121,1.053400777,504.1767794,0.289621301,0.457549894
NSFTV_310,255.7378553,0.217533899,0.85868335,1.074533268,421.2809882,0.324139977,0.767186873
NSFTV_311,263.8963075,0.277473553,0.944685372,1.038491235,443.3464111,0.290497045,0.655546757
NSFTV_312,258.4628553,0.207533899,0.81493335,1.01186068,466.0049293,0.327603363,0.702572184
NSFTV_313,77.91214469,0.066716101,0.88181665,0.812963336,566.8167306,0.401069476,0.696705014
NSFTV_314,138.3118364,0.118794726,0.904651121,0.947752735,465.5427626,0.29604638,0.632565066
NSFTV_315,141.4368364,0.112044726,0.816901121,0.938225347,623.3231175,0.492387205,0.784141717
NSFTV_316,100.7618364,0.093044726,0.944901121,1.035768578,461.0984773,0.380011182,0.815013134
NSFTV_317,129.7425405,0.123244367,0.96241721,1.103506124,536.1418148,0.396222207,0.736575951
NSFTV_318,145.6092072,0.139244367,0.961750543,0.869799161,639.8981468,0.457720802,0.71495485
NSFTV_32,174.3124131,0.155041514,0.902523152,0.945657893,549.3287631,0.381595794,0.70237958
NSFTV_320,166.0473786,0.159236397,0.961309066,0.988995096,432.2699829,0.350770092,0.802460279
NSFTV_322,134.8118364,0.142294726,1.048901121,1.097073897,464.0365668,0.347794086,0.740920927
NSFTV_323,137.8622522,0.13096332,0.970716123,1.17719605,520.4291465,0.416114584,0.796373912
NSFTV_324,198.0118364,0.191044726,0.961651121,1.083245046,554.0185152,0.422650651,0.761835547
NSFTV_325,208.1618364,0.186794726,0.888901121,0.998978082,528.310696,0.461145406,0.865536349
NSFTV_326,166.6118364,0.172794726,1.038401121,1.170292161,562.8276455,0.429231768,0.765040848
NSFTV_327,149.1118364,0.127044726,0.849901121,1.057784045,619.4327008,0.43745818,0.702583407
NSFTV_328,162.4868364,0.168044726,1.034151121,0.952877051,551.5197629,0.373718226,0.676908279
NSFTV_329,157.5108753,0.122383413,0.846531067,0.933370261,570.2741128,0.419096641,0.731348246
NSFTV_33,102.4868364,0.093544726,0.918651121,0.983614399,498.6448623,0.348186143,0.706202056
NSFTV_330,175.7368364,0.149294726,0.869651121,0.982962746,556.9930305,0.347042508,0.624232114
NSFTV_331,129.1368364,0.132294726,1.033151121,1.097671174,544.5507113,0.361739697,0.65661433
NSFTV_332,163.7118364,0.150044726,0.928901121,0.896054176,761.5111898,0.406859475,0.536023992
NSFTV_333,138.7618364,0.100044726,0.735651121,0.751829229,658.0616243,0.304122,0.472228973
NSFTV_334,162.933414,0.141924941,0.868391467,0.88000438,470.5504848,0.336607595,0.719243103
NSFTV_335,218.8618364,0.192794726,0.879901121,0.937675924,432.6621511,0.336230305,0.796663313
NSFTV_336,153.7118364,0.149544726,0.975901121,0.993780039,613.8757909,0.413025149,0.67216058
NSFTV_337,86.08683642,0.072294726,0.868401121,0.895900227,673.2774663,0.482620459,0.715533914
NSFTV_338,181.9618364,0.167294726,0.911151121,0.892692961,492.0688404,0.342711749,0.706923771
NSFTV_339,104.8368364,0.106794726,1.050401121,1.108247227,610.7209234,0.441471493,0.72023483
NSFTV_340,248.8368364,0.242544726,0.975901121,1.189140311,600.1611691,0.522270583,0.872721356
NSFTV_341,136.8368364,0.129044726,0.943013806,1.112988238,555.9826137,0.388710062,0.702994545
NSFTV_342,279.3368364,0.251544726,0.904401121,1.155935595,477.3055215,0.379886176,0.807056885
NSFTV_343,128.5612057,0.124631694,1.013287173,0.902290654,585.5964389,0.379829377,0.646564609
NSFTV_345,181.8368364,0.186794726,1.022901121,1.137735423,477.9251732,0.361229058,0.757828385
