"Area_Day21" "Area_Growth" "Area_Day29_MPH" "Area_Day21_MPH" "Area_Day29" "Area_Growth_MPH" "LTF" "LTF_MPH" "DTF_MPH" "DTF"
"C272" 84.0191 27.4345 3.9908 10.513 55.3629 1.8487 2.3651 -0.0551 -0.0311 1.7655
"C273" 72.1308 23.8898 -2.1337 0.9638 48.7268 -1.5394 2.2616 -0.2146 -0.0323 1.7747
"C274" 76.4633 26.9022 4.2762 7.1497 53.7043 2.2808 2.2999 0.0055 -0.0192 1.7572
"C275" 77.9366 25.6896 4.8648 11.8939 52.0919 2.2789 2.4722 -0.0062 -0.0266 1.7894
"C276" 84.5279 30.0462 9.654 15.5163 59.4062 5.1832 2.4377 0.0482 -0.0207 1.7728
"C277" 83.5813 27.5397 6.2935 12.6934 55.5225 3.2154 2.4051 0.0801 -0.0133 1.7701
"C278" 74.24 24.6689 3.0132 6.3531 50.1446 1.5387 2.2617 0.0527 -0.0053 1.7691
"C279" 73.0708 24.6964 1.0267 2.4341 50.0102 0.4887 2.4097 -0.0997 -0.0204 1.8031
"C280" 77.4514 26.1196 -0.2302 -0.6721 52.6595 -0.0963 2.5241 0.1061 0.005 1.814
"C282" 76.2443 24.4129 -0.4315 0.0839 50.0342 -0.2125 2.4317 -0.0768 0.0031 1.8246
"C283" 62.679 22.0947 -10.9766 -17.8331 44.8332 -5.8874 2.3625 -0.15 0.016 1.8252
"C284" 75.9099 26.3354 -1.3663 -0.4913 52.7811 -0.8536 2.256 -0.23 -0.0317 1.7634
"C285" 82.824 28.3173 4.2063 7.0882 56.5698 2.2448 2.6067 0.1263 0.0037 1.809
"C286" 81.2361 26.3101 -0.796 3.3343 53.4068 -0.8108 2.5297 -0.0591 0.0102 1.8284
"C287" 73.3551 24.2266 -3.3976 -5.2436 49.4102 -1.8844 2.4041 -0.0243 0.0036 1.8047
"C288" 80.9046 26.142 2.6772 7.2671 53.1084 1.2236 2.7401 0.1951 0.0354 1.8547
"C289" 79.3584 25.3161 -0.6131 0.4974 51.7708 -0.4286 2.5293 0.111 0.0253 1.8319
"C290" 91.8199 30.1666 6.3252 14.0809 60.427 3.1001 2.5867 0.038 0.0026 1.812
"C291" 84.2283 27.8748 1.8596 5.6101 56.0547 0.8071 2.5468 0.0527 -0.0095 1.786
"C292" 75.2714 24.5118 -3.5911 -1.311 50.0966 -2.3638 2.4787 0.0215 0.0054 1.812
"C293" 78.0951 25.3225 1.6159 4.6462 51.7087 0.6639 2.1195 -0.1201 -0.028 1.7431
"C294" 78.7805 27.429 3.1465 2.2169 54.7931 1.9045 2.4221 0.0295 -0.0218 1.7736
